lambda  n   fit
4.950799999999999841e+02 8.396999999999999886e+01 0.000000000000000000e+00
4.951499999999999773e+02 4.506000000000000227e+01 0.000000000000000000e+00
4.952200000000000273e+02 5.734000000000000341e+01 0.000000000000000000e+00
4.952799999999999727e+02 2.049999999999999822e+00 0.000000000000000000e+00
4.953500000000000227e+02 4.300999999999999801e+01 0.000000000000000000e+00
4.954200000000000159e+02 1.637999999999999901e+01 0.000000000000000000e+00
4.954800000000000182e+02 -2.253000000000000114e+01 0.000000000000000000e+00
4.955500000000000114e+02 -8.189999999999999503e+00 0.000000000000000000e+00
4.956100000000000136e+02 5.120000000000000284e+01 0.000000000000000000e+00
4.956800000000000068e+02 3.277000000000000313e+01 0.000000000000000000e+00
4.957500000000000000e+02 9.829999999999999716e+01 0.000000000000000000e+00
4.958100000000000023e+02 1.269699999999999989e+02 0.000000000000000000e+00
4.958799999999999955e+02 -2.867000000000000171e+01 0.000000000000000000e+00
4.959399999999999977e+02 4.099999999999999645e+00 0.000000000000000000e+00
4.960099999999999909e+02 1.249300000000000068e+02 0.000000000000000000e+00
4.960799999999999841e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.961399999999999864e+02 4.710000000000000142e+01 0.000000000000000000e+00
4.962099999999999795e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.962799999999999727e+02 -7.168000000000000682e+01 0.000000000000000000e+00
4.963399999999999750e+02 4.300999999999999801e+01 0.000000000000000000e+00
4.964100000000000250e+02 -4.096000000000000085e+01 0.000000000000000000e+00
4.964700000000000273e+02 9.420999999999999375e+01 0.000000000000000000e+00
4.965400000000000205e+02 1.433999999999999986e+01 0.000000000000000000e+00
4.966100000000000136e+02 -3.890999999999999659e+01 0.000000000000000000e+00
4.966700000000000159e+02 2.457999999999999829e+01 0.000000000000000000e+00
4.967400000000000091e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.968000000000000114e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.968700000000000045e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.969399999999999977e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.970000000000000000e+02 1.331200000000000045e+02 0.000000000000000000e+00
4.970699999999999932e+02 -8.189999999999999503e+00 0.000000000000000000e+00
4.971299999999999955e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.971999999999999886e+02 4.099999999999999645e+00 0.000000000000000000e+00
4.972699999999999818e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.973299999999999841e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.973999999999999773e+02 -5.120000000000000284e+01 0.000000000000000000e+00
4.974599999999999795e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.975299999999999727e+02 5.734000000000000341e+01 0.000000000000000000e+00
4.976000000000000227e+02 -4.710000000000000142e+01 0.000000000000000000e+00
4.976600000000000250e+02 5.120000000000000284e+01 0.000000000000000000e+00
4.977300000000000182e+02 4.099999999999999645e+00 0.000000000000000000e+00
4.977900000000000205e+02 -6.962999999999999545e+01 0.000000000000000000e+00
4.978600000000000136e+02 -2.457999999999999829e+01 0.000000000000000000e+00
4.979300000000000068e+02 4.710000000000000142e+01 0.000000000000000000e+00
4.979900000000000091e+02 5.734000000000000341e+01 0.000000000000000000e+00
4.980600000000000023e+02 -1.433999999999999986e+01 0.000000000000000000e+00
4.981200000000000045e+02 -8.189999999999999503e+00 0.000000000000000000e+00
4.981899999999999977e+02 4.710000000000000142e+01 0.000000000000000000e+00
4.982500000000000000e+02 -4.300999999999999801e+01 0.000000000000000000e+00
4.983199999999999932e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.983899999999999864e+02 -7.987000000000000455e+01 0.000000000000000000e+00
4.984499999999999886e+02 -1.310699999999999932e+02 0.000000000000000000e+00
4.985199999999999818e+02 -3.277000000000000313e+01 0.000000000000000000e+00
4.985799999999999841e+02 4.710000000000000142e+01 0.000000000000000000e+00
4.986499999999999773e+02 -8.396999999999999886e+01 0.000000000000000000e+00
4.987200000000000273e+02 -5.120000000000000284e+01 0.000000000000000000e+00
4.987799999999999727e+02 -6.962999999999999545e+01 0.000000000000000000e+00
4.988500000000000227e+02 2.048000000000000043e+01 0.000000000000000000e+00
4.989100000000000250e+02 -2.048000000000000043e+01 0.000000000000000000e+00
4.989800000000000182e+02 -1.064899999999999949e+02 0.000000000000000000e+00
4.990400000000000205e+02 -1.024000000000000021e+01 0.000000000000000000e+00
4.991100000000000136e+02 -8.396999999999999886e+01 0.000000000000000000e+00
4.991800000000000068e+02 -1.637999999999999901e+01 0.000000000000000000e+00
4.992400000000000091e+02 1.024000000000000021e+01 0.000000000000000000e+00
4.993100000000000023e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.993700000000000045e+02 8.601000000000000512e+01 0.000000000000000000e+00
4.994399999999999977e+02 2.662000000000000099e+01 0.000000000000000000e+00
4.995000000000000000e+02 -3.685999999999999943e+01 0.000000000000000000e+00
4.995699999999999932e+02 -1.003499999999999943e+02 0.000000000000000000e+00
4.996399999999999864e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.996999999999999886e+02 -6.962999999999999545e+01 0.000000000000000000e+00
4.997699999999999818e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.998299999999999841e+02 -8.806000000000000227e+01 0.000000000000000000e+00
4.998999999999999773e+02 -3.071999999999999886e+01 0.000000000000000000e+00
4.999599999999999795e+02 -8.189999999999999503e+00 0.000000000000000000e+00
5.000299999999999727e+02 -8.192000000000000171e+01 0.000000000000000000e+00
5.000899999999999750e+02 -1.167300000000000040e+02 0.000000000000000000e+00
5.001600000000000250e+02 1.637999999999999901e+01 0.000000000000000000e+00
5.002300000000000182e+02 -5.120000000000000284e+01 0.000000000000000000e+00
5.002900000000000205e+02 3.071999999999999886e+01 0.000000000000000000e+00
