t   ch1 fitch1  ch2 fitch2  ch3
1.784000000000000918e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.295353969592664497e-87 3.200000000000000000e+01
1.794000000000001371e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.236702125311131019e-102 3.119999999999999929e+01
1.804000000000000936e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.682126358394078735e-118 3.200000000000000000e+01
1.814000000000001389e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.163288009348653953e-135 3.119999999999999929e+01
1.824000000000000954e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 8.591616748888795125e-154 3.200000000000000000e+01
1.834000000000000519e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.017685368470084565e-162 3.119999999999999929e+01
1.844000000000001860e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 7.977646270585965187e-144 3.200000000000000000e+01
1.854000000000001425e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.342438641910450614e-126 3.119999999999999929e+01
1.864000000000000989e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 5.107798881337394633e-110 3.200000000000000000e+01
1.874000000000000554e+00 4.400000000000000355e+00 3.834031497472692340e+00 4.000000000000000222e-01 8.271256148296997444e-95 3.119999999999999929e+01
1.884000000000000341e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 9.946751525577545574e-81 3.200000000000000000e+01
1.894000000000001682e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 8.883072053664167696e-68 3.119999999999999929e+01
1.904000000000001247e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 5.891382459411740582e-56 3.200000000000000000e+01
1.914000000000000812e+00 4.400000000000000355e+00 3.834031497472692340e+00 4.000000000000000222e-01 2.901638913131799460e-45 3.119999999999999929e+01
1.924000000000000377e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.061308477219586913e-35 3.200000000000000000e+01
1.934000000000001718e+00 4.799999999999999822e+00 3.834031497472692340e+00 4.000000000000000222e-01 2.882783425597819003e-27 3.119999999999999929e+01
1.944000000000001283e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 5.815064237293679162e-20 3.200000000000000000e+01
1.954000000000000847e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 8.711022463841749893e-14 3.119999999999999929e+01
1.964000000000000412e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 9.690716034137786250e-09 3.119999999999999929e+01
1.974000000000001753e+00 4.799999999999999822e+00 3.834031497472692340e+00 0.000000000000000000e+00 8.005984013708629724e-05 3.360000000000000142e+01
