t ch1 ch2 ch3
279 8.00e-04 4.00e-04 -2.72e+01
280 4.00e-04 4.00e-04 -2.80e+01
281 -4.00e-04 0.00e+00 -2.72e+01
282 4.00e-04 0.00e+00 -2.80e+01
283 -4.00e-04 4.00e-04 -2.72e+01
284 4.00e-04 4.00e-04 -2.80e+01
285 -4.00e-04 0.00e+00 -2.64e+01
286 0.00e+00 0.00e+00 -2.64e+01
287 8.00e-04 4.00e-04 -2.72e+01
288 4.00e-04 0.00e+00 -2.72e+01
289 -4.00e-04 4.00e-04 -2.64e+01
290 4.00e-04 0.00e+00 -2.72e+01
291 -4.00e-04 4.00e-04 -2.48e+01
292 4.00e-04 4.00e-04 -2.48e+01
293 -4.00e-04 0.00e+00 -2.56e+01
294 0.00e+00 0.00e+00 -2.56e+01
295 1.20e-03 4.00e-04 -2.48e+01
296 4.00e-04 4.00e-04 -2.56e+01
297 -4.00e-04 0.00e+00 -2.40e+01
298 8.00e-04 4.00e-04 -2.48e+01
299 -4.00e-04 0.00e+00 -2.40e+01
300 4.00e-04 0.00e+00 -2.48e+01
301 -4.00e-04 4.00e-04 -2.40e+01
302 4.00e-04 0.00e+00 -2.48e+01
303 0.00e+00 4.00e-04 -2.32e+01
304 4.00e-04 0.00e+00 -2.48e+01
305 -4.00e-04 4.00e-04 -2.24e+01
306 -4.00e-04 2.00e-04 -2.24e+01
307 1.20e-03 6.00e-04 -2.32e+01
308 0.00e+00 2.00e-04 -2.32e+01
309 1.20e-03 8.00e-04 -2.16e+01
310 0.00e+00 4.00e-04 -2.32e+01
311 1.20e-03 1.40e-03 -2.16e+01
312 1.20e-03 1.00e-03 -2.16e+01
313 -4.00e-04 1.80e-03 -2.24e+01
314 4.00e-04 1.60e-03 -2.24e+01
315 -4.00e-04 6.00e-03 -2.08e+01
316 4.00e-04 4.40e-03 -2.24e+01
317 -4.00e-04 8.80e-03 -2.00e+01
318 4.00e-04 3.40e-03 -2.08e+01
319 -4.00e-04 6.00e-03 -2.00e+01
320 1.20e-03 5.00e-03 -2.08e+01
321 -4.00e-04 1.80e-03 -2.00e+01
322 -4.00e-04 1.80e-03 -2.08e+01
323 4.00e-04 4.00e-04 -1.92e+01
324 0.00e+00 4.00e-04 -1.92e+01
325 8.00e-04 8.00e-04 -2.00e+01
326 0.00e+00 4.00e-04 -1.92e+01
327 8.00e-04 8.00e-04 -2.00e+01
328 0.00e+00 6.00e-04 -2.00e+01
329 1.20e-03 2.00e-04 -1.76e+01
330 0.00e+00 2.00e-04 -1.84e+01
331 1.20e-03 6.00e-04 -1.76e+01
332 4.00e-04 4.00e-04 -1.84e+01
333 -4.00e-04 0.00e+00 -1.76e+01
334 4.00e-04 0.00e+00 -1.84e+01
335 -4.00e-04 4.00e-04 -1.68e+01
336 4.00e-04 0.00e+00 -1.68e+01
337 -4.00e-04 4.00e-04 -1.76e+01
338 4.00e-04 0.00e+00 -1.76e+01
339 -4.00e-04 4.00e-04 -1.68e+01
340 4.00e-04 0.00e+00 -1.76e+01
341 -4.00e-04 4.00e-04 -1.52e+01
342 -4.00e-04 0.00e+00 -1.60e+01
343 4.00e-04 4.00e-04 -1.52e+01
344 4.00e-04 0.00e+00 -1.60e+01
345 -4.00e-04 4.00e-04 -1.52e+01
