t   ch2 ch3 fit
-3.955999999999999517e+00 0.000000000000000000e+00 -4.160000000000000142e+01 0.000000000000000000e+00
-3.945999999999999730e+00 4.000000000000000222e-01 -4.400000000000000000e+01 0.000000000000000000e+00
-3.935999999999999499e+00 0.000000000000000000e+00 -4.160000000000000142e+01 0.000000000000000000e+00
-3.925999999999998824e+00 4.000000000000000222e-01 -4.239999999999999858e+01 0.000000000000000000e+00
-3.915999999999999481e+00 0.000000000000000000e+00 -4.239999999999999858e+01 0.000000000000000000e+00
-3.905999999999999250e+00 4.000000000000000222e-01 -4.160000000000000142e+01 0.000000000000000000e+00
-3.895999999999999464e+00 0.000000000000000000e+00 -4.239999999999999858e+01 3.351988374209937179e-319
-3.885999999999999233e+00 4.000000000000000222e-01 -4.079999999999999716e+01 2.801893953566555589e-313
-3.875999999999999446e+00 4.000000000000000222e-01 -4.079999999999999716e+01 2.061316752236614848e-307
-3.865999999999999215e+00 0.000000000000000000e+00 -4.160000000000000142e+01 1.334745821739680531e-301
-3.855999999999999428e+00 4.000000000000000222e-01 -4.079999999999999716e+01 7.606996313772606895e-296
-3.845999999999999641e+00 0.000000000000000000e+00 -4.160000000000000142e+01 3.815826678789664026e-290
-3.835999999999999410e+00 4.000000000000000222e-01 -4.160000000000000142e+01 1.684708910678998087e-284
-3.825999999999999623e+00 0.000000000000000000e+00 -3.920000000000000284e+01 6.546691924012395587e-279
-3.815999999999999392e+00 0.000000000000000000e+00 -4.000000000000000000e+01 2.239132193377048606e-273
-3.805999999999999606e+00 4.000000000000000222e-01 -3.920000000000000284e+01 6.740596995928050686e-268
-3.795999999999999375e+00 4.000000000000000222e-01 -4.000000000000000000e+01 1.785984927394794343e-262
-3.785999999999999588e+00 0.000000000000000000e+00 -3.920000000000000284e+01 4.165028857863138108e-257
-3.775999999999999357e+00 0.000000000000000000e+00 -4.000000000000000000e+01 8.549073260614231719e-252
-3.765999999999999570e+00 4.000000000000000222e-01 -3.839999999999999858e+01 1.544474922907376929e-246
-3.755999999999999339e+00 0.000000000000000000e+00 -3.839999999999999858e+01 2.455859302336716248e-241
-3.745999999999999552e+00 4.000000000000000222e-01 -4.000000000000000000e+01 3.437058323009752333e-236
-3.735999999999999321e+00 0.000000000000000000e+00 -3.920000000000000284e+01 4.233807614978868575e-231
-3.725999999999999091e+00 4.000000000000000222e-01 -3.839999999999999858e+01 4.590247854104292198e-226
-3.715999999999999304e+00 4.000000000000000222e-01 -3.920000000000000284e+01 4.380280792497246644e-221
-3.705999999999999073e+00 0.000000000000000000e+00 -3.760000000000000142e+01 3.678989640215006231e-216
-3.695999999999999286e+00 0.000000000000000000e+00 -3.839999999999999858e+01 2.719668536453709116e-211
-3.685999999999999499e+00 4.000000000000000222e-01 -3.679999999999999716e+01 1.769555497124928192e-206
-3.675999999999999712e+00 0.000000000000000000e+00 -3.760000000000000142e+01 1.013382025199121025e-201
-3.665999999999999481e+00 4.000000000000000222e-01 -3.679999999999999716e+01 5.107907270251984807e-197
-3.655999999999999694e+00 0.000000000000000000e+00 -3.760000000000000142e+01 2.266071509478473177e-192
-3.645999999999999464e+00 4.000000000000000222e-01 -3.679999999999999716e+01 8.848405464632011226e-188
-3.635999999999999677e+00 0.000000000000000000e+00 -3.760000000000000142e+01 3.041005590348059390e-183
-3.625999999999999446e+00 4.000000000000000222e-01 -3.600000000000000000e+01 9.198779744947444096e-179
-3.615999999999999215e+00 0.000000000000000000e+00 -3.600000000000000000e+01 2.449085914387187915e-174
-3.605999999999999428e+00 4.000000000000000222e-01 -3.679999999999999716e+01 5.739031643063293723e-170
